Name; Browser; Renderer; GPU Process; cpuTime (%); cpuSampling (%); Sum dumpsys
100ms; 0.7; 10; 9.8; 15.397355736395463; 0.9756097560975665; 0.79.810
100ms; 0.4; 6.1; 6.6; 13.59769810223375; 0.8181999600878139; 0.46.66.1
100ms; 0.4; 5.8; 6.1; 15.463567050321918; 0.7231820008035392; 0.46.15.8
100ms; 0.4; 6; 5.9; 16.36746294421885; 1.2464817048653072; 0.45.96
100ms; 0.4; 6; 6.7; 12.073945575219131; 0.3705075954056987; 0.46.76
100ms; 0.3; 6.4; 6.9; 19.415565794657976; 4.283513097072408; 0.36.96.4
100ms; 0.4; 6.5; 7.1; 17.319178450552066; 1.223671013039122; 0.47.16.5
100ms; 0.6; 10; 9.4; 12.142610161213765; 0.334572490706319; 0.69.410
100ms; 0.3; 6.7; 7; 14.901351813722933; 0.7103090804376996; 0.376.7
100ms; 0.4; 6.5; 7.2; 15.813072961039234; 1.3824884792626766; 0.47.26.5
100ms; 0.5; 8.1; 8.3; 15.528403717828596; 0.9722222222222193; 0.58.38.1
100ms; 0.4; 7.5; 8.2; 22.612335930490218; 5.395232120451693; 0.48.27.5
100ms; 0.5; 8.3; 8.8; 18.95172937209237; 3.833957912943206; 0.58.88.3
100ms; 0.4; 6.4; 6.6; 15.53020248273407; 0.8823529411764671; 0.46.66.4
200ms; 0.3; 3; 3.3; 7.448469522546418; 0.10526315789473668; 0.33.33
200ms; 0.2; 3.4; 3; 7.020497232779175; 0.22667829119441255; 0.233.4
200ms; 0.1; 2.8; 2.8; 7.667224763649844; 0.10212765957445027; 0.12.82.8
200ms; 0.1; 2.5; 2.7; 8.012745835230179; 0.17298045320878466; 0.12.72.5
200ms; 0; 2.5; 2.7; 9.70158965674895; 0.20236087689714874; 02.72.5
200ms; 0; 2.1; 2.2; 7.393582691228007; 0.32711179526650186; 02.22.1
200ms; 0.2; 4.2; 4.7; 8.393588892963317; 0.0689655172413742; 0.24.74.2
200ms; 0.2; 4.9; 5.1; 8.044977852346738; 0.19298245614034443; 0.25.14.9
200ms; 0.3; 3.4; 3.4; 8.330318109289685; 0.03999999999999993; 0.33.43.4
200ms; 0.2; 4.8; 4.1; 10.314972170948458; 0.13793103448275534; 0.24.14.8
200ms; 0.3; 3.7; 5.4; 9.943504426865651; 0.6801275239107264; 0.35.43.7
200ms; 0.3; 6; 5.3; 6.416899624460647; 0.051724137931043614; 0.35.36
200ms; 0.2; 4.6; 4.5; 8.689531951057038; 0.3465003465003449; 0.24.54.6
200ms; 0.1; 3.4; 3.5; 8.682652414511939; 0.1999999999999974; 0.13.53.4
200ms; 0.2; 2.9; 3.2; 7.731866182757893; 0.35636507622253444; 0.23.22.9
200ms; 0.3; 3.2; 3.3; 9.563589429391865; 0.24137931034482119; 0.33.33.2
200ms; 0.3; 3; 3.6; 11.681737643410512; 0.31376891842008087; 0.33.63
200ms; 0.3; 3.7; 4; 6.928213914446571; 0.05454545454546363; 0.343.7
200ms; 0.2; 4.5; 4.7; 6.988681818428175; 0.033333333333321245; 0.24.74.5
200ms; 0.2; 3.5; 5.7; 6.158077933967148; 0.03389830508474602; 0.25.73.5
200ms; 0.2; 4; 4; 7.751198658172838; 0.25298156848573217; 0.244
200ms; 0; 3.6; 4; 6.919570877968924; 0.06779661016949252; 043.6
200ms; 0.2; 3.9; 4.2; 5.730847031489855; 0.016949152542365422; 0.24.23.9
200ms; 0.1; 3.3; 3.3; 6.342786294831278; 0.08771929824561107; 0.13.33.3
200ms; 0.2; 3.8; 5; 9.53072279939344; 0.5217391304347748; 0.253.8
200ms; 0.2; 3.3; 3.5; 6.174186280022196; 0.016949152542366206; 0.23.53.3
200ms; 0.4; 4; 4.7; 5.284644562281877; 0.016666666666667915; 0.44.74
200ms; 0.1; 3.7; 3.6; 6.157358297165085; 0.016949152542377895; 0.13.63.7
200ms; 0.2; 3.5; 3.5; 7.808815894987636; 0.09433962264152318; 0.23.53.5
200ms; 0.1; 3; 3.4; 7.83157031581301; 0.14545454545453743; 0.13.43
200ms; 0.3; 4.5; 4.1; 6.860138496125247; 0.25490196078430627; 0.34.14.5
200ms; 0.1; 3.4; 3.4; 5.060235020694274; 0.016949152542378824; 0.13.43.4
200ms; 0.1; 3.3; 3.7; 6.9841855523253; 0.1481481481481375; 0.13.73.3
200ms; 0.1; 3.2; 3.2; 6.665707545362082; 0.1577598106882464; 0.13.23.2
