User 19%, System 36%, IOW 0%, IRQ 0%
User 15 + Nice 0 + Sys 28 + Idle 33 + IOW 0 + IRQ 0 + SIRQ 0 = 76

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
27830 u0_a158  20   0   0% S    10 1798288K  27708K  bg com.android.printspooler
27931 root     20   0   0% S     1      0K      0K  fg kworker/6:2
28057 u0_a1    20   0   0% S    10 1797424K  29868K  bg com.samsung.android.asksmanager
28115 cloudgat 20   0   0% S    19 2343716K  34680K  bg com.samsung.android.slinkcloud
28134 smds     20   0   0% S    10 1798276K  30824K  bg com.samsung.android.sm.devicesecurity
28155 u0_a82   20   0   0% S    97 2553296K  64612K  bg com.samsung.android.spay
28401 u0_a169  20   0   0% S    11 1779744K  38696K  bg com.sec.android.app.sbrowser
28430 u0_a64   20   0   0% S    29 2451464K  59224K  bg com.sec.android.app.shealth:remote
28457 u0_a21   20   0   0% S    10 1797888K  27564K  bg com.sec.android.widgetapp.samsungapps
28497 system   20   0   0% S    10 2324052K  28484K  bg com.wssnps
28523 system   20   0   0% S    11 1841104K  36172K  bg com.sec.imsservice:CloudMessageService
28554 u0_a120  20   0   0% S    20 1819968K  43204K  bg com.facebook.appmanager
28623 system   20   0   0% S    11 1798356K  27436K  bg com.trustonic.tuiservice
28658 root      0 -20   0% S     1      0K      0K  fg kworker/2:3H
28697 root      0 -20   0% S     1      0K      0K  fg kworker/0:0H
28748 u0_a184  20   0   0% S    10 1808364K  40720K  bg com.sec.android.daemonapp
28770 u0_a163  20   0   0% S    10 1824796K  31916K  bg com.samsung.android.calendar
28800 spass    20   0   0% S    10 1803864K  27548K  bg com.samsung.android.authfw
28823 u0_a94   20   0   0% S    33 1920940K  52540K  bg com.whitepages.nameid.tmobile
28951 root     20   0   0% S     1      0K      0K  fg kworker/0:2
29308 root      0 -20   0% S     1      0K      0K  fg kworker/1:2H
29364 u0_a108  20   0   0% S    11 1798248K  28864K  bg com.sec.android.app.chromecustomizations
29377 root      0 -20   0% S     1      0K      0K  fg kworker/u17:3
29410 root     20   0   0% S     1      0K      0K  fg kworker/u16:8
29437 u0_i30   20   0   0% S    26 1320744K  55948K  fg com.android.chrome:sandboxed_process14
29501 system   20   0   0% S    19 1815780K  33452K  fg com.samsung.android.MtpApplication
30146 u0_a48   20   0   0% S    15 1254760K  39804K  bg com.android.vending:instant_app_installer
30174 u0_a12   20   0   0% S     9 1796376K  31648K  bg com.android.defcontainer
30219 root     20   0   0% S     1      0K      0K  fg kworker/u16:9
30253 system   20   0   0% S    10 1797792K  32520K  bg com.samsung.android.bbc.bbcagent
30287 u0_a124  20   0   0% S    12 1809524K  42020K  bg com.enhance.gameservice
30311 root     20   0   0% S     1      0K      0K  fg kworker/4:0
30319 u0_a30   20   0   0% S    12 1801408K  30920K  bg com.google.android.partnersetup
30340 system   20   0   0% S    10 1221040K  25584K  bg com.samsung.android.app.mirrorlink
30355 samsungc 20   0   0% S    10 1816012K  38288K  bg com.samsung.android.scloud
30405 system   20   0   0% S    10 1797956K  30272K  bg com.samsung.android.themecenter
30419 u0_a56   20   0   0% S    21 1773248K  42016K  bg com.samsung.voiceserviceplatform
30439 u0_a56   20   0   0% S    10 1217236K  26820K  bg com.samsung.svoice.sync
