User 20%, System 18%, IOW 0%, IRQ 0%
User 15 + Nice 0 + Sys 13 + Idle 44 + IOW 0 + IRQ 0 + SIRQ 0 = 72

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
13538 u0_a35   20   0   0% S    10 1797796K  26564K  bg com.samsung.klmsagent
14844 root      0 -20   0% S     1      0K      0K  fg kbase_event
15453 u0_a51   20   0   0% S    37 2482856K  58592K  bg com.samsung.oh
17016 u0_a20   20   0   0% S    87 2546256K  79552K  bg com.tmobile.pr.mytmobile
22580 root      0 -20   0% S     1      0K      0K  fg kbase_event
24515 root     20   0   0% S     1      0K      0K  fg kworker/6:1
26775 system   20   0   0% S    11 1841104K  34396K  bg com.sec.imsservice:CloudMessageService
26821 system   20   0   0% S    11 1798356K  26220K  bg com.trustonic.tuiservice
26879 u0_a184  20   0   0% S    10 1808364K  43404K  bg com.sec.android.daemonapp
26963 spass    20   0   0% S    10 1803864K  26160K  bg com.samsung.android.authfw
27742 root     20   0   0% S     1      0K      0K  fg kworker/4:1
27743 root     20   0   0% S     1      0K      0K  fg kworker/7:2
28424 root     20   0   0% S     1      0K      0K  fg kworker/5:2
28482 root     20   0   0% S     1      0K      0K  fg kworker/6:0
29501 system   20   0   0% S    19 1815780K  30564K  fg com.samsung.android.MtpApplication
30311 root     20   0   0% S     1      0K      0K  fg kworker/4:0
30419 u0_a56   20   0   0% S    21 1773576K  30968K  bg com.samsung.voiceserviceplatform
30459 system   20   0   0% S    13 1819968K  32976K  bg com.samsung.SMT
30479 u0_a54   20   0   0% S    19 2383004K  34912K  bg com.sec.android.app.music:main
30697 root     20   0   0% S     1      0K      0K  fg kworker/7:1
30700 u0_a319  20   0   0% S    23 1271084K  37000K  bg org.chromium.webapk.a285ef6957e7ab3a8
30717 root      0 -20   0% S     1      0K      0K  fg kbase_event
30774 root      0 -20   0% S     1      0K      0K  fg kbase_event
30832 root      0 -20   0% S     1      0K      0K  fg kbase_event
30910 root     20   0   0% S     1      0K      0K  fg kworker/5:1
32521 system   20   0   0% S    25 3074280K 154832K  bg com.android.settings
32561 root      0 -20   0% S     1      0K      0K  fg kbase_event
 1817 root     20   0   0% S     1      0K      0K  fg decon1
    2 root     20   0   0% S     1      0K      0K  fg kthreadd
    3 root     20   0   0% S     1      0K      0K  fg ksoftirqd/0
    7 root     RT   0   0% S     1      0K      0K  fg migration/0
    8 root     20   0   0% S     1      0K      0K  fg rcu_preempt
    9 root     20   0   0% S     1      0K      0K  fg rcu_bh
   10 root     20   0   0% S     1      0K      0K  fg rcu_sched
   11 root     RT   0   0% S     1      0K      0K  fg watchdog/0
